score,split,subset,samples,absent,present,tp_absent,fp_present,tn_present,fn_absent,absent_tpr,present_fpr,balanced_accuracy,precision_absent,mcc,predicted_absent_rate,auroc
target_char_len,popular,all,3000,1500,1500,557,186,1314,943,0.37133333333333335,0.124,0.6236666666666667,0.7496635262449529,0.28649280741241945,0.24766666666666667,0.5865906666666667
target_char_len,popular,present,1500,0,1500,0,186,1314,0,0.0,0.124,0.438,0.0,0.0,0.124,
target_char_len,popular,absent,1500,1500,0,557,0,0,943,0.37133333333333335,0.0,0.18566666666666667,1.0,0.0,0.37133333333333335,
target_char_len,popular,negative_related_present,980,980,0,359,0,0,621,0.3663265306122449,0.0,0.18316326530612245,1.0,0.0,0.3663265306122449,
target_char_len,popular,negative_absent_plain,520,520,0,198,0,0,322,0.38076923076923075,0.0,0.19038461538461537,1.0,0.0,0.38076923076923075,
target_char_len,adversarial,all,3000,1500,1500,479,186,1314,1021,0.31933333333333336,0.124,0.5976666666666667,0.7203007518796992,0.23513287564343865,0.22166666666666668,0.5539124444444444
target_char_len,adversarial,present,1500,0,1500,0,186,1314,0,0.0,0.124,0.438,0.0,0.0,0.124,
target_char_len,adversarial,absent,1500,1500,0,479,0,0,1021,0.31933333333333336,0.0,0.15966666666666668,1.0,0.0,0.31933333333333336,
target_char_len,adversarial,negative_related_present,1272,1272,0,447,0,0,825,0.35141509433962265,0.0,0.17570754716981132,1.0,0.0,0.35141509433962265,
target_char_len,adversarial,negative_absent_plain,228,228,0,32,0,0,196,0.14035087719298245,0.0,0.07017543859649122,1.0,0.0,0.14035087719298245,
target_char_len,macro,all,9000,4500,4500,1213,558,3942,3287,0.26955555555555555,0.124,0.5727777777777778,0.6849237718802936,0.18305976774628532,0.19677777777777777,0.5401259259259259
target_char_len,macro,present,4500,0,4500,0,558,3942,0,0.0,0.124,0.438,0.0,0.0,0.124,
target_char_len,macro,absent,4500,4500,0,1213,0,0,3287,0.26955555555555555,0.0,0.13477777777777777,1.0,0.0,0.26955555555555555,
target_char_len,macro,negative_related_present,3092,3092,0,902,0,0,2190,0.29172056921086675,0.0,0.14586028460543338,1.0,0.0,0.29172056921086675,
target_char_len,macro,negative_absent_plain,1408,1408,0,311,0,0,1097,0.22088068181818182,0.0,0.11044034090909091,1.0,0.0,0.22088068181818182,
