score,split,subset,samples,absent,present,tp_absent,fp_present,tn_present,fn_absent,absent_tpr,present_fpr,balanced_accuracy,precision_absent,mcc,predicted_absent_rate,auroc
target_char_len,adversarial,all,120,60,60,25,20,40,35,0.4166666666666667,0.3333333333333333,0.5416666666666666,0.5555555555555556,0.08606629658238704,0.375,0.5395833333333333
target_char_len,adversarial,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_char_len,adversarial,absent,60,60,0,25,0,0,35,0.4166666666666667,0.0,0.20833333333333334,1.0,0.0,0.4166666666666667,
target_char_len,adversarial,negative_related_present,54,54,0,24,0,0,30,0.4444444444444444,0.0,0.2222222222222222,1.0,0.0,0.4444444444444444,
target_char_len,adversarial,negative_absent_plain,6,6,0,1,0,0,5,0.16666666666666666,0.0,0.08333333333333333,1.0,0.0,0.16666666666666666,
target_char_len,macro,all,360,180,180,75,60,120,105,0.4166666666666667,0.3333333333333333,0.5416666666666666,0.5555555555555556,0.08606629658238704,0.375,0.5077314814814815
target_char_len,macro,present,180,0,180,0,60,120,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_char_len,macro,absent,180,180,0,75,0,0,105,0.4166666666666667,0.0,0.20833333333333334,1.0,0.0,0.4166666666666667,
target_char_len,macro,negative_related_present,134,134,0,58,0,0,76,0.43283582089552236,0.0,0.21641791044776118,1.0,0.0,0.43283582089552236,
target_char_len,macro,negative_absent_plain,46,46,0,17,0,0,29,0.3695652173913043,0.0,0.18478260869565216,1.0,0.0,0.3695652173913043,
