method,score,call_rate,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,precision,recall_tpr,fpr,tnr,f1,balanced_accuracy,mcc,yes_rate
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,adversarial,negative_absent_plain,228,0,12,216,0,0.9473684210526315,0.0,0.0,0.05263157894736842,0.9473684210526315,0.0,0.47368421052631576,0.0,0.05263157894736842
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,popular,all,3000,1220,116,1384,280,0.868,0.9131736526946108,0.8133333333333334,0.07733333333333334,0.9226666666666666,0.8603667136812412,0.868,0.7404388256548138,0.44533333333333336
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,popular,positive,1500,1220,0,0,280,0.8133333333333334,1.0,0.8133333333333334,0.0,0.0,0.8970588235294117,0.4066666666666667,0.0,0.8133333333333334
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,popular,negative,1500,0,116,1384,0,0.9226666666666666,0.0,0.0,0.07733333333333334,0.9226666666666666,0.0,0.4613333333333333,0.0,0.07733333333333334
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,popular,negative_related_present,980,0,98,882,0,0.9,0.0,0.0,0.1,0.9,0.0,0.45,0.0,0.1
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,popular,negative_absent_plain,520,0,18,502,0,0.9653846153846154,0.0,0.0,0.03461538461538462,0.9653846153846154,0.0,0.4826923076923077,0.0,0.03461538461538462
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,random,all,3000,1220,54,1446,280,0.8886666666666667,0.957613814756672,0.8133333333333334,0.036,0.964,0.8795962509012257,0.8886666666666667,0.7863093515272986,0.4246666666666667
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,random,positive,1500,1220,0,0,280,0.8133333333333334,1.0,0.8133333333333334,0.0,0.0,0.8970588235294117,0.4066666666666667,0.0,0.8133333333333334
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,random,negative,1500,0,54,1446,0,0.964,0.0,0.0,0.036,0.964,0.0,0.482,0.0,0.036
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,random,negative_related_present,840,0,45,795,0,0.9464285714285714,0.0,0.0,0.05357142857142857,0.9464285714285714,0.0,0.4732142857142857,0.0,0.05357142857142857
