method,score,selection_rate,selected_rows,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,mcc,tpr,fpr,tnr,precision,f1,yes_rate
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.5,2025,2025,0.775,adversarial,all,3000,1202,152,1348,298,0.85,0.703339569801533,0.8013333333333333,0.10133333333333333,0.8986666666666666,0.8877400295420975,0.8423265592151367,0.4513333333333333
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.5,2025,2025,0.775,adversarial,negative_related_present,1272,0,145,1127,0,0.8860062893081762,0.0,0.0,0.1139937106918239,0.8860062893081762,0.0,0.0,0.1139937106918239
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.5,2025,0,1.0,macro,all,9000,1942,82,4418,2558,0.7066666666666667,0.4949991511364187,0.4315555555555556,0.018222222222222223,0.9817777777777777,0.9594861660079052,0.595340282035561,0.2248888888888889
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.5,2025,0,1.0,macro,negative_related_present,3092,0,79,3013,0,0.9744501940491591,0.0,0.0,0.02554980595084088,0.9744501940491591,0.0,0.0,0.02554980595084088
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.5,2025,0,1.0,random,all,3000,647,12,1488,853,0.7116666666666667,0.5112464568049446,0.43133333333333335,0.008,0.992,0.9817905918057663,0.5993515516442798,0.21966666666666668
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.5,2025,0,1.0,random,negative_related_present,840,0,12,828,0,0.9857142857142858,0.0,0.0,0.014285714285714285,0.9857142857142858,0.0,0.0,0.014285714285714285
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.5,2025,0,1.0,popular,all,3000,647,21,1479,853,0.7086666666666667,0.5015587703049794,0.43133333333333335,0.014,0.986,0.968562874251497,0.5968634686346864,0.22266666666666668
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.5,2025,0,1.0,popular,negative_related_present,980,0,20,960,0,0.9795918367346939,0.0,0.0,0.02040816326530612,0.9795918367346939,0.0,0.0,0.02040816326530612
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.5,2025,0,1.0,adversarial,all,3000,648,49,1451,852,0.6996666666666667,0.47278475514787716,0.432,0.03266666666666666,0.9673333333333334,0.9296987087517934,0.589895311788803,0.23233333333333334
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.5,2025,0,1.0,adversarial,negative_related_present,1272,0,47,1225,0,0.9630503144654088,0.0,0.0,0.036949685534591194,0.9630503144654088,0.0,0.0,0.036949685534591194
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.75,6750,6750,0.25,macro,all,9000,3657,250,4250,843,0.8785555555555555,0.7637717482340644,0.8126666666666666,0.05555555555555555,0.9444444444444444,0.9360122856411569,0.8699892946354227,0.4341111111111111
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.75,6750,6750,0.25,macro,negative_related_present,3092,0,231,2861,0,0.9252910737386805,0.0,0.0,0.07470892626131953,0.9252910737386805,0.0,0.0,0.07470892626131953
